ID,Question,Intent,Response,Source_ID,Status
151,Does my current qualification allow me to apply for the course I have selected?,eligibility,Your eligibility depends on the academic requirements of the selected programme. Check the course-specific eligibility criteria to see whether your qualification meets the requirements.,S047,Added - Natural student question variation; source inherited from intent example
152,Can I apply if I meet the course requirements?,eligibility,"Yes, if you satisfy the eligibility conditions for your chosen programme, you can proceed with the admission application.",S047,Added - Natural student question variation; source inherited from intent example
153,Am I allowed to submit an application once I satisfy the course requirements?,eligibility,"Yes, if you satisfy the eligibility conditions for your chosen programme, you can proceed with the admission application.",S047,Added - Natural student question variation; source inherited from intent example
154,Can I apply with my current qualification?,eligibility,You can apply if your existing educational qualification meets the requirements specified for the programme you have selected.,S047,Added - Natural student question variation; source inherited from intent example
155,Is my existing qualification sufficient to apply for admission?,eligibility,You can apply if your existing educational qualification meets the requirements specified for the programme you have selected.,S047,Added - Natural student question variation; source inherited from intent example
156,Can I check my eligibility?,eligibility,Yes. Please check the official eligibility requirements for the specific programme you want to apply for.,S047,Added - Natural generic training example based on official-source intent
157,Can NRIs apply to Galgotias University's full-time programs?,eligibility,"Yes. NRIs can apply to Galgotias University's regular full-time programs, subject to having completed 12 years of schooling.",S047,Verified - Official Source
158,Do eligibility rules depend on the course?,eligibility,"Yes, admission eligibility is generally programme-specific. Different courses may have different educational qualifications, subjects, or marks requirements.",S047,Added - Natural student question variation; source inherited from intent example
159,Are admission requirements different depending on the programme?,eligibility,"Yes, admission eligibility is generally programme-specific. Different courses may have different educational qualifications, subjects, or marks requirements.",S047,Added - Natural student question variation; source inherited from intent example
160,Do I need a BCI-recognised LLB to apply for LLM at Galgotias University?,eligibility,Yes. Applicants for the LLM programme at Galgotias University must hold an LLB from a university recognised by the Bar Council of India.,S047,Verified - Official Source
161,Do PhD applicants need a master's degree to apply at Galgotias University?,eligibility,"Yes, PhD applicants generally need a master's degree in the relevant subject, along with qualifying the PhD Entrance Test (PET) or holding a valid NET/JRF/SLET/GATE score.",S047,Verified - Official Source
162,Does every programme have the same eligibility criteria?,eligibility,"No. The eligibility criteria may differ from one programme to another, so applicants should review the requirements for their particular course.",S047,Added - Natural student question variation; source inherited from intent example
163,Are the eligibility requirements identical for all programmes?,eligibility,"No. The eligibility criteria may differ from one programme to another, so applicants should review the requirements for their particular course.",S047,Added - Natural student question variation; source inherited from intent example
164,Does Galgotias University accept NET or GATE scores for PhD admission?,eligibility,Yes. Candidates with a valid NET/JRF/SLET/GATE score are exempt from the university's PhD Entrance Test (PET).,S047,Verified - Official Source
165,Does Galgotias University require a qualifying entrance score for every programme?,eligibility,"Most flagship programmes (B.Tech, B.Arch, MBA, Law, PhD) require a qualifying entrance exam score, while some UG/PG programmes admit primarily on academic merit.",S047,Verified - Official Source
166,How can I check whether I qualify for a programme?,eligibility,Select the programme you are interested in and review its eligibility requirements on the Galgotias University website. Compare those requirements with your educational qualifications.,S047,Added - Natural student question variation; source inherited from intent example
167,What can I do to find out if I meet a programme's eligibility requirements?,eligibility,Select the programme you are interested in and review its eligibility requirements on the Galgotias University website. Compare those requirements with your educational qualifications.,S047,Added - Natural student question variation; source inherited from intent example
168,How can I confirm my eligibility before applying?,eligibility,"Before submitting an application, check the eligibility section for your chosen programme and make sure your qualification and other requirements match the stated criteria.",S047,Added - Natural student question variation; source inherited from intent example
169,What is the best way to verify my eligibility before submitting an application?,eligibility,"Before submitting an application, check the eligibility section for your chosen programme and make sure your qualification and other requirements match the stated criteria.",S047,Added - Natural student question variation; source inherited from intent example
170,How do I know if I am eligible?,eligibility,You can determine your eligibility by checking the admission requirements listed for your selected programme at Galgotias University.,S047,Added - Natural student question variation; source inherited from intent example
171,How can I find out whether I meet the admission requirements?,eligibility,You can determine your eligibility by checking the admission requirements listed for your selected programme at Galgotias University.,S047,Added - Natural student question variation; source inherited from intent example
172,How many years of schooling do international students need for Galgotias University admission?,eligibility,International students need 12 years of completed schooling to be eligible for Galgotias University's regular programs.,S047,Verified - Official Source
173,Is a bachelor's degree required for MBA eligibility at Galgotias University?,eligibility,"Yes, a bachelor's degree is required for MBA eligibility, along with a valid score in GUMAT, CAT, MAT, XAT or CMAT.",S047,Verified - Official Source
174,Is a master's degree required for Galgotias University's research programmes?,eligibility,"Yes. For Research/PhD programs, a master's degree in the relevant subject is generally required, alongside qualifying PET or an accepted national-level score.",S047,Verified - Official Source
175,Is CLAT compulsory for all law programmes at Galgotias University?,eligibility,"CLAT is one accepted route for LL.B. (Hons.) admission; LSAT is also accepted, and integrated law programmes can additionally use the university's own GULSAT.",S047,Verified - Official Source
176,Is there a minimum percentage required?,eligibility,"Some programmes may specify minimum marks or percentage requirements. The required percentage can vary by course, so applicants should check the criteria for their chosen programme.",S047,Added - Natural student question variation; source inherited from intent example
177,Do applicants need to achieve a certain percentage of marks for admission?,eligibility,"Some programmes may specify minimum marks or percentage requirements. The required percentage can vary by course, so applicants should check the criteria for their chosen programme.",S047,Added - Natural student question variation; source inherited from intent example
178,What are the admission requirements for my course?,eligibility,"The requirements depend on the programme you want to join. They may include a particular educational qualification, subjects studied, and minimum marks.",S047,Added - Natural student question variation; source inherited from intent example
179,Which requirements do I need to fulfil for the course I want to join?,eligibility,"The requirements depend on the programme you want to join. They may include a particular educational qualification, subjects studied, and minimum marks.",S047,Added - Natural student question variation; source inherited from intent example
180,What are the basic requirements to apply?,eligibility,Applicants generally need to meet the educational and programme-specific eligibility conditions before applying for admission. The exact requirements depend on the selected course.,S047,Added - Natural student question variation; source inherited from intent example
181,What do I need to have in order to submit an admission application?,eligibility,Applicants generally need to meet the educational and programme-specific eligibility conditions before applying for admission. The exact requirements depend on the selected course.,S047,Added - Natural student question variation; source inherited from intent example
182,What are the eligibility criteria?,eligibility,Eligibility depends on the programme. Please check Galgotias University's official eligibility requirements for your chosen course.,S047,Added - Natural generic training example based on official-source intent
183,What are the eligibility requirements for admission?,eligibility,"Galgotias University has programme-specific eligibility criteria. Students should check the qualification, marks, and other conditions applicable to their chosen programme.",S047,Added - Natural student question variation; source inherited from intent example
184,Which criteria must a student meet to be eligible for admission?,eligibility,"Galgotias University has programme-specific eligibility criteria. Students should check the qualification, marks, and other conditions applicable to their chosen programme.",S047,Added - Natural student question variation; source inherited from intent example
185,What are the requirements for LLM admission at Galgotias University?,eligibility,"To apply for the LLM program at Galgotias University, a candidate must have completed an LLB from a university recognised by the Bar Council of India.",S047,Verified - Official Source
186,What are the requirements to be eligible?,eligibility,The requirements vary by programme and are provided in the university's official eligibility information.,S047,Added - Natural generic training example based on official-source intent
187,What do I need to be eligible for admission?,eligibility,You need to satisfy the academic requirements specified for your selected programme. Review the course eligibility details before submitting your application.,S047,Added - Natural student question variation; source inherited from intent example
188,What conditions must I satisfy to qualify for admission?,eligibility,You need to satisfy the academic requirements specified for your selected programme. Review the course eligibility details before submitting your application.,S047,Added - Natural student question variation; source inherited from intent example
189,What educational qualification is needed?,eligibility,The required educational qualification depends on the programme. Different undergraduate and postgraduate courses may have different academic requirements.,S047,Added - Natural student question variation; source inherited from intent example
190,Which academic qualification is required for the programme?,eligibility,The required educational qualification depends on the programme. Different undergraduate and postgraduate courses may have different academic requirements.,S047,Added - Natural student question variation; source inherited from intent example
191,What is required for PhD admission at Galgotias University?,eligibility,"Galgotias University's PhD admissions are open across more than 30 subjects, including Psychology, English, Political Science, Economics and Mass Communication, and require qualifying the university's PhD Entrance Test (PET) or holding a valid NET/JRF/SLET/GATE score.",S047,Verified - Official Source
192,What is the eligibility criterion for MBA admission at Galgotias University?,eligibility,"MBA applicants need a bachelor's degree along with a valid score in GUMAT, CAT, MAT, XAT or CMAT.",S047,Verified - Official Source
193,What is the eligibility for B.Arch at Galgotias University?,eligibility,"Admission to B.Arch at Galgotias University is based on NATA scores, along with the relevant Class 12 qualification with Mathematics.",S047,Verified - Official Source
194,What is the eligibility for integrated law programmes like BA LLB at Galgotias University?,eligibility,"Integrated law programmes such as BA LLB (Hons.) and BBA LLB (Hons.) admit through the university's own GULSAT test or an accepted equivalent, along with the relevant Class 12 qualification.",S047,Verified - Official Source
195,What is the eligibility for LL.B. (Hons.) admission at Galgotias University?,eligibility,"LL.B. (Hons.) admission is based on merit in CLAT/LSAT, along with the relevant Class 12 qualification.",S047,Verified - Official Source
196,What is the eligibility for the LLM program at Galgotias University?,eligibility,Eligibility for the LLM programme requires an LLB from a Bar Council of India recognised university.,S047,Verified - Official Source
197,What is the minimum eligibility for B.Tech admission at Galgotias University?,eligibility,"For B.Tech admission, candidates must pass Class 12 with Physics, Chemistry/Biology and Mathematics as compulsory subjects, meeting the minimum percentage set by the university, and qualify through GUEE or JEE Main.",S047,Verified - Official Source
198,What is the minimum qualification needed?,eligibility,The minimum qualification is determined by the programme you are applying for. Check the specific course requirements to find out which qualification is accepted.,S047,Added - Natural student question variation; source inherited from intent example
199,What is the lowest educational qualification accepted for admission?,eligibility,The minimum qualification is determined by the programme you are applying for. Check the specific course requirements to find out which qualification is accepted.,S047,Added - Natural student question variation; source inherited from intent example
200,What is the PhD Entrance Test at Galgotias University?,eligibility,"The PhD Entrance Test (PET) is Galgotias University's own qualifying test for PhD admission, required unless the candidate holds a valid NET/JRF/SLET/GATE score.",S047,Verified - Official Source
201,What is the schooling requirement for NRI students applying to Galgotias University?,eligibility,"For Galgotias University's regular programs, foreign nationals and NRIs must have completed 12 years of schooling to be eligible for admission.",S047,Verified - Official Source
202,What marks are required for admission?,eligibility,The minimum marks requirement can differ depending on the programme. Applicants should refer to the eligibility criteria of their chosen course for the applicable requirement.,S047,Added - Natural student question variation; source inherited from intent example
203,How many marks must I have to qualify for admission?,eligibility,The minimum marks requirement can differ depending on the programme. Applicants should refer to the eligibility criteria of their chosen course for the applicable requirement.,S047,Added - Natural student question variation; source inherited from intent example
204,What qualifications do I need for admission?,eligibility,You need the educational qualification specified for your selected programme. The required qualification may differ depending on the level and field of study.,S047,Added - Natural student question variation; source inherited from intent example
205,Which academic qualifications are accepted for admission?,eligibility,You need the educational qualification specified for your selected programme. The required qualification may differ depending on the level and field of study.,S047,Added - Natural student question variation; source inherited from intent example
206,What qualifications do I need?,eligibility,The required qualifications depend on the programme. Please check the official programme eligibility criteria.,S047,Added - Natural generic training example based on official-source intent
207,What should I check before applying for a course?,eligibility,"Before applying, check the programme's eligibility criteria, including the required qualification, subjects, minimum marks, and any other admission conditions.",S047,Added - Natural student question variation; source inherited from intent example
208,Which eligibility details should I review before choosing to apply for a course?,eligibility,"Before applying, check the programme's eligibility criteria, including the required qualification, subjects, minimum marks, and any other admission conditions.",S047,Added - Natural student question variation; source inherited from intent example
209,What should I check to make sure I meet the admission criteria?,eligibility,Review the eligibility information for your chosen programme and compare your academic background with the listed requirements before completing the application.,S047,Added - Natural student question variation; source inherited from intent example
210,How can I verify that I satisfy all the requirements for admission?,eligibility,Review the eligibility information for your chosen programme and compare your academic background with the listed requirements before completing the application.,S047,Added - Natural student question variation; source inherited from intent example
211,Where can I check the eligibility criteria?,eligibility,"You can check the eligibility criteria for a programme on the official Galgotias University website, under the information provided for that particular programme.",S047,Added - Natural student question variation; source inherited from intent example
212,Where can I find the eligibility information for my chosen programme?,eligibility,"You can check the eligibility criteria for a programme on the official Galgotias University website, under the information provided for that particular programme.",S047,Added - Natural student question variation; source inherited from intent example
213,Who can apply to Galgotias University?,eligibility,Students who meet the eligibility requirements of their chosen programme can apply to Galgotias University. The specific criteria depend on the course and level of study.,S047,Added - Natural student question variation; source inherited from intent example
214,What type of students are eligible to apply to Galgotias University?,eligibility,Students who meet the eligibility requirements of their chosen programme can apply to Galgotias University. The specific criteria depend on the course and level of study.,S047,Added - Natural student question variation; source inherited from intent example
215,Who is eligible to apply?,eligibility,Applicants should meet the official eligibility requirements for the programme they want to join.,S047,Added - Natural generic training example based on official-source intent
216,Can I appear for the semester exam with less than 75% attendance?,examination,No. Galgotias University requires a minimum of 75% attendance in each individual course to be eligible for the SEE/ETE.,S058,Verified - Official Source
217,Can I apply for revaluation of my answer script at Galgotias University?,examination,"Yes. Every student is eligible to apply for revaluation of answer booklets in all theory courses, for any number of subjects, along with the prescribed fee, within the notified deadline from the Controller of Examinations (COE).",S058,Verified - Official Source
218,Can I apply for revaluation?,examination,"Yes, students may be able to request revaluation of their examination results according to the university's examination rules. The application must be submitted through the prescribed process within the specified period.",S058,Added - Natural student question variation; source inherited from intent example
219,Is it possible to request a revaluation of my exam marks?,examination,"Yes, students may be able to request revaluation of their examination results according to the university's examination rules. The application must be submitted through the prescribed process within the specified period.",S058,Added - Natural student question variation; source inherited from intent example
220,Does Galgotias University follow absolute or relative grading?,examination,Galgotias University follows a Relative Grading System for determining pass/fail and letter grades.,S058,Verified - Official Source
221,How are internal and end-semester marks divided?,examination,The distribution of internal assessment and end-semester examination marks depends on the course and applicable academic regulations. Students should refer to the assessment scheme for their programme.,S058,Added - Natural student question variation; source inherited from intent example
222,What is the mark distribution between internal assessment and semester-end exams?,examination,The distribution of internal assessment and end-semester examination marks depends on the course and applicable academic regulations. Students should refer to the assessment scheme for their programme.,S058,Added - Natural student question variation; source inherited from intent example
223,How are lab courses evaluated at Galgotias University?,examination,"For laboratory courses, CIE (lab work/record plus a lab test) accounts for 50 marks and the SEE lab exam accounts for 50 marks, for a total of 100; lab work is worth 15 marks and the lab record 10 marks within CIE.",S058,Verified - Official Source
224,How are lab exams evaluated?,examination,Laboratory examinations are generally assessed based on practical performance and other components specified for the course. The exact evaluation method may vary by programme.,S058,Added - Natural student question variation; source inherited from intent example
225,What criteria are used to assess laboratory examinations?,examination,Laboratory examinations are generally assessed based on practical performance and other components specified for the course. The exact evaluation method may vary by programme.,S058,Added - Natural student question variation; source inherited from intent example
226,How are students assessed in exams?,examination,"Students may be evaluated through different assessment components, such as internal assessments, practical or laboratory work, and end-semester examinations, depending on their programme.",S058,Added - Natural student question variation; source inherited from intent example
227,What methods are used to evaluate students during examinations?,examination,"Students may be evaluated through different assessment components, such as internal assessments, practical or laboratory work, and end-semester examinations, depending on their programme.",S058,Added - Natural student question variation; source inherited from intent example
228,How can I check my exam results at Galgotias University?,examination,"For examination results and grade-related information, students should use the official Examination Cell or authorised student systems and follow the university's current result-related instructions.",S058,Corrected - Official process wording made conservative
229,How can I check my exam results?,examination,You can check your examination results through the university's designated result or student portal. Use your required login details to access the available result information.,S058,Added - Natural student question variation; source inherited from intent example
230,Where can I view my examination results?,examination,You can check your examination results through the university's designated result or student portal. Use your required login details to access the available result information.,S058,Added - Natural student question variation; source inherited from intent example
231,How can I check the exam schedule?,examination,Please check the university's current official examination schedule or authorised Examination Cell information.,S058,Added - Natural generic training example based on official-source intent
232,How can I find my exam date sheet?,examination,The examination date sheet can be checked through Galgotias University's official examination-related information or student portal. Look for the schedule published for your programme and semester.,S058,Added - Natural student question variation; source inherited from intent example
233,Where can I get the date sheet for my examinations?,examination,The examination date sheet can be checked through Galgotias University's official examination-related information or student portal. Look for the schedule published for your programme and semester.,S058,Added - Natural student question variation; source inherited from intent example
234,How do examinations work at Galgotias University?,examination,"Examinations at Galgotias University involve assessment according to the academic and examination rules of the programme. Students may have internal assessments, practicals, and semester-end examinations.",S058,Added - Natural student question variation; source inherited from intent example
235,What is the examination system followed at Galgotias University?,examination,"Examinations at Galgotias University involve assessment according to the academic and examination rules of the programme. Students may have internal assessments, practicals, and semester-end examinations.",S058,Added - Natural student question variation; source inherited from intent example
236,How do exams work at Galgotias University?,examination,"Please refer to the official Examination Cell information for the current examination rules, assessment and academic procedures.",S058,Added - Natural generic training example based on official-source intent
237,How do I apply for exam revaluation?,examination,"To request revaluation, follow the university's prescribed examination procedure and submit the application within the announced deadline. Check the examination portal or official notifications for current instructions.",S058,Added - Natural student question variation; source inherited from intent example
238,What procedure should I follow to request exam revaluation?,examination,"To request revaluation, follow the university's prescribed examination procedure and submit the application within the announced deadline. Check the examination portal or official notifications for current instructions.",S058,Added - Natural student question variation; source inherited from intent example
239,How do I apply for revaluation at Galgotias University?,examination,"You can apply for revaluation of any number of theory subjects within the deadline announced by the Controller of Examinations (COE) via the website, LMS, or digital notice board, along with the prescribed fee.",S058,Verified - Official Source
240,How do I raise an examination-related grievance at Galgotias University?,examination,"Students can raise grievances through the ERP Student Portal's Grievance Module, the university website's online complaints tab, or by emailing grievance@galgotiasuniversity.edu.in; the Student Facilitation Centres (SFC) in each block are the first point of contact.",S058,Verified - Official Source
241,How is CGPA calculated at Galgotias University?,examination,"CGPA (Cumulative Grade Point Average) is calculated by taking the credit-weighted average of the SGPAs across all completed semesters — multiplying each semester's SGPA by its credit total, summing across semesters, and dividing by total cumulative credits.",S058,Verified - Official Source
242,How is SGPA calculated at Galgotias University?,examination,"SGPA (Semester Grade Point Average) is calculated by multiplying each course's grade point by its credit value, summing these products across all courses in the semester, and dividing by the total credits for that semester.",S058,Verified - Official Source
243,How much weightage do internal assessment and end-semester exams carry at Galgotias University?,examination,"For theory courses, Continuous Internal Evaluation (CIE) and the Semester End Examination (SEE) are weighted 50-50, each contributing 100 of the 200 total marks.",S058,Verified - Official Source
244,How quickly are examination-related grievances resolved at Galgotias University?,examination,"According to the university's Service Level Agreement, most grievances (date sheet queries, UFM queries, grade card issues) are addressed the same day, while transcripts for higher studies take up to three working days.",S058,Verified - Official Source
245,Is revaluation available for practical/lab exams at Galgotias University?,examination,The revaluation policy as stated covers theory courses; it does not extend the same guarantee to practical/lab exams.,S058,Verified - Official Source
246,Is there a Bronze Medal at Galgotias University?,examination,"Yes, a Bronze Medal is given to the 3rd rank holder in a program, but only if that program has more than 30 students.",S058,Verified - Official Source
247,What are the eligibility criteria for winning a gold or silver medal at Galgotias University?,examination,"To be eligible for a medal, a student must complete their program in a single attempt (no backlogs) and maintain at least 75% attendance; if the topper doesn't meet this, the medal passes to the next-ranked eligible student.",S058,Verified - Official Source
248,What are the examination rules?,examination,The current examination rules should be checked through Galgotias University's official Examination Cell information.,S058,Added - Natural generic training example based on official-source intent
249,What counts as 'unfair means' during a Galgotias University exam?,examination,"Unfair means includes writing identifying marks on the answer sheet, sitting in an unassigned seat, possessing unauthorized material, giving or receiving help, tampering with or smuggling answer sheets, impersonation, and any other form of misconduct or cheating.",S058,Verified - Official Source
250,What does grade 'O' mean at Galgotias University?,examination,"Grade 'O' stands for Outstanding and carries a grade point of 10.0, the highest on Galgotias University's 10-point grading scale.",S058,Verified - Official Source
251,What grading scale does Galgotias University use?,examination,"Galgotias University uses a 10-point relative grading scale: O (Outstanding, 10), A+ (Excellent, 9), A (Very Good, 8), B+ (Good, 7), B (Above Average, 6), C (Average, 5), P (Pass, 4), and F (Fail, 0), along with AB (Absent), DE (Detained), and WH (Withheld).",S058,Verified - Official Source
252,What grading system does the university use?,examination,Galgotias University follows an academic grading system for evaluating student performance. The applicable grades and grading method are determined according to the university's academic regulations.,S058,Added - Natural student question variation; source inherited from intent example
253,How are students' marks converted into grades at the university?,examination,Galgotias University follows an academic grading system for evaluating student performance. The applicable grades and grading method are determined according to the university's academic regulations.,S058,Added - Natural student question variation; source inherited from intent example
254,What happens if a student is found guilty of unfair means during an exam at Galgotias University?,examination,A candidate found using unfair means has their examination result withheld; a University-appointed UFM (Unfair Means) committee gives the candidate a personal hearing before recommending a penalty.,S058,Verified - Official Source
255,What happens if I fail a subject at Galgotias University?,examination,"The applicable examination rules govern passing, grading and reappearance or backlog procedures. Students should refer to the current official Examination Cell regulations for the exact process.",S058,Corrected - Avoids unsupported detailed claim
256,What happens if I fail a subject?,examination,"If a student does not pass a subject, they may need to take the applicable supplementary, back-paper, or repeat examination according to university rules.",S058,Added - Natural student question variation; source inherited from intent example
257,What are the options available if I do not pass a subject?,examination,"If a student does not pass a subject, they may need to take the applicable supplementary, back-paper, or repeat examination according to university rules.",S058,Added - Natural student question variation; source inherited from intent example
258,What happens if I have less than the required attendance?,examination,"Students who do not meet the required attendance criteria may face restrictions on appearing for examinations, subject to the university's attendance and academic regulations.",S058,Added - Natural student question variation; source inherited from intent example
259,What are the consequences of not meeting the required attendance percentage?,examination,"Students who do not meet the required attendance criteria may face restrictions on appearing for examinations, subject to the university's attendance and academic regulations.",S058,Added - Natural student question variation; source inherited from intent example
260,What happens if my revaluation marks differ significantly from my original marks at Galgotias University?,examination,"If the revaluation mark differs from the original valuation by more than 15%, the answer booklet is evaluated a third time by a different teacher who did not evaluate it in the first valuation or revaluation.",S058,Verified - Official Source
261,What is the Chancellor's Trophy at Galgotias University?,examination,"The Chancellor's Trophy is the university's most prestigious award, given one each to the top-performing male and female student based on combined academic, extracurricular, and co-curricular performance, per criteria set by the Scholarships and Award Committee.",S058,Verified - Official Source
262,What is the CIE-SEE split for a Comprehensive course at Galgotias University?,examination,"For a Comprehensive course, Continuous Internal Evaluation (Lab work, Mid-Term, and a course-based project) contributes 100 marks and the Semester End Exam contributes 100 marks, split 50-50, on a 200-mark total.",S058,Verified - Official Source
263,What is the exam process?,examination,The examination process includes completing the required academic assessments and appearing for the examinations scheduled by the university. Specific procedures depend on the programme and semester.,S058,Added - Natural generic training example based on official-source intent
264,What steps does the university follow for conducting examinations?,examination,The examination process includes completing the required academic assessments and appearing for the examinations scheduled by the university. Specific procedures depend on the programme and semester.,S058,Added - Natural generic training example based on official-source intent
265,What is the mark distribution for a theory course at Galgotias University?,examination,"For a theory course, Internal Assessment 1 is 25 marks, the Mid-Term Exam is 50 marks, Internal Assessment 2 is 25 marks (together 100 CIE marks), and the Semester End Exam is 100 marks, for a grand total of 200.",S058,Verified - Official Source
266,What is the minimum attendance needed for exams?,examination,Students must satisfy the attendance requirement specified by Galgotias University to be eligible for examinations. The applicable requirement should be confirmed from the current academic regulations.,S058,Added - Natural student question variation; source inherited from intent example
267,How much attendance must a student have to be allowed to appear for exams?,examination,Students must satisfy the attendance requirement specified by Galgotias University to be eligible for examinations. The applicable requirement should be confirmed from the current academic regulations.,S058,Added - Natural student question variation; source inherited from intent example
268,What is the minimum attendance required to sit for exams at Galgotias University?,examination,Students must maintain a minimum of 75% attendance in each course individually to be eligible to appear for the Semester End Examination (SEE/ETE).,S058,Verified - Official Source
269,What is the passing criteria for a course at Galgotias University?,examination,"A student passes a course under the Relative Grading System by securing a minimum of 40% composite score (Internal Assessment + Mid-Term + End-Semester Exam combined), with at least 25% required in the End-Semester Exam component alone.",S058,Verified - Official Source
270,What is the passing requirement for a course?,examination,"To pass a course, students must meet the minimum academic and examination requirements specified for that programme. The passing criteria may vary according to the course structure.",S058,Added - Natural student question variation; source inherited from intent example
271,What criteria must I meet to pass a course?,examination,"To pass a course, students must meet the minimum academic and examination requirements specified for that programme. The passing criteria may vary according to the course structure.",S058,Added - Natural student question variation; source inherited from intent example
272,What is the Student Facilitation Centre (SFC) at Galgotias University?,examination,"The SFC is a single-window grievance-handling desk present in all three campus blocks (A, B, and C), each covering a fixed set of schools, serving as the first point of contact for academic, examination, ERP, and accounts-related grievances.",S058,Verified - Official Source
273,When are exams held at Galgotias University?,examination,"Exam schedules (date sheets) are published on the official Examination Portal for each semester — for example, CAT-I and ETE date sheets are posted there closer to each exam cycle.",S001,Verified - Official Source
274,When are semester exams held?,examination,Semester examinations are conducted according to the academic calendar and examination schedule issued by the university. Students should check the latest schedule for their semester.,S058,Added - Natural student question variation; source inherited from intent example
275,During which period are the semester examinations conducted?,examination,Semester examinations are conducted according to the academic calendar and examination schedule issued by the university. Students should check the latest schedule for their semester.,S058,Added - Natural student question variation; source inherited from intent example
276,When are the exams?,examination,Please check the current official examination schedule or academic information published by the university.,S058,Added - Natural generic training example based on official-source intent
277,Where can I check the exam schedule?,examination,You can find the examination schedule through Galgotias University's official examination information channels or student portal. Check the notices related to your programme and semester.,S058,Added - Natural student question variation; source inherited from intent example
278,How can I find the examination timetable for my programme?,examination,You can find the examination schedule through Galgotias University's official examination information channels or student portal. Check the notices related to your programme and semester.,S058,Added - Natural student question variation; source inherited from intent example
279,Where can I find exam information?,examination,Refer to Galgotias University's official Examination Cell information for current examination-related updates.,S058,Added - Natural generic training example based on official-source intent
280,Where can I find my exam date sheet at Galgotias University?,examination,"Date sheets (e.g., CAT-I, ETE) are published on the official Examination Portal page under 'What's New' ahead of each exam cycle.",S001,Verified - Official Source
281,Who is eligible for the Gold Medal at Galgotias University?,examination,"The Gold Medal is awarded to the first rank holder (topper) in each program, across both Engineering and Non-Engineering disciplines, subject to completing the program in one attempt with at least 75% attendance.",S058,Verified - Official Source
282,Are course fees different for different programmes?,fees,"Yes, the fee amount can vary depending on the programme. Students should check the fee details of their specific course before applying.",S057,Added - Natural student question variation; source inherited from intent example
283,Does the fee amount vary from one programme to another?,fees,"Yes, the fee amount can vary depending on the programme. Students should check the fee details of their specific course before applying.",S057,Added - Natural student question variation; source inherited from intent example
284,Are there any hidden fees at Galgotias University?,fees,"Galgotias University's listed fee components (tuition, examination, accidental insurance, one-time caution deposit) are laid out on the official Fee Structure & Eligibility page — always confirm the full breakup there rather than relying on a single quoted number.",S002,Verified - Official Source
285,Are university fees paid every year?,fees,Fee payment schedules can depend on the programme and academic structure. Students should follow the payment schedule provided by Galgotias University for their course.,S057,Added - Natural student question variation; source inherited from intent example
286,Do students need to pay their university fees on an annual basis?,fees,Fee payment schedules can depend on the programme and academic structure. Students should follow the payment schedule provided by Galgotias University for their course.,S057,Added - Natural student question variation; source inherited from intent example
287,Can you explain the fee structure?,fees,"The fee structure provides information about the charges applicable to a particular programme, such as tuition and other applicable academic fees. The exact components depend on the selected course.",S057,Added - Natural student question variation; source inherited from intent example
288,What does the fee structure at Galgotias University include?,fees,"The fee structure provides information about the charges applicable to a particular programme, such as tuition and other applicable academic fees. The exact components depend on the selected course.",S057,Added - Natural student question variation; source inherited from intent example
289,Can you tell me the course fees?,fees,Please check Galgotias University's official fee information for the current fee applicable to your chosen programme.,S057,Added - Natural generic training example based on official-source intent
290,Do Galgotias University fees change with the exchange rate for international students?,fees,"For international students, Galgotias University's fees in foreign currency are subject to the prevailing exchange rate at the time of admission or payment.",S048,Verified - Official Source
291,Do I need to pay any other charges besides tuition?,fees,"There may be additional charges apart from tuition, depending on the programme and services used by the student. Check the official fee details for the complete breakdown.",S057,Added - Natural student question variation; source inherited from intent example
292,Are there additional costs apart from the tuition fee?,fees,"There may be additional charges apart from tuition, depending on the programme and services used by the student. Check the official fee details for the complete breakdown.",S057,Added - Natural student question variation; source inherited from intent example
293,Does Galgotias University charge an accidental insurance fee?,fees,"Yes. An accidental insurance fee is among the components generally paid annually by Galgotias University students, along with tuition and examination fees.",S048,Verified - Official Source
294,Does Galgotias University follow UGC fee refund rules?,fees,Galgotias University follows fee refund guidelines set by the UGC (University Grants Commission).,S048,Verified - Official Source
295,Does the tuition fee vary by specialization within the same programme?,fees,"Yes. Fees can vary by specialization and admission category, so applicants should confirm the exact figure for their chosen specialization on the official fee page.",S002,Verified - Official Source
